error_hash,model,strategy,phase,error_category,error_subcategory,occurrences,distinct_functions,sample_message
462a14279a63f4c5b362c6d2acdc54cca6b6798a365850843c6f6135eb36e8e0,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\result\result.service.ts:3515
      throw new common_1.NotFoundException(`Result with id ${id} not found`);
            ^

[NotFoundException: Result with id 123 not found] {
  response: {
    message: 'Result with id 123 not found',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}

Node.js v18.16.0"
49342f366b50d129c1b740a4d7c77b803ab5ee92c4d89f19e9a61ee4c5b0cba3,qwen_coder_3b,few_shot,jest,jest,assertion_failure,5,1,"should update result value and save it: Error: expect(jest.fn()).toHaveBeenCalledWith(...expected)

- Expected
+ Received

  Object {
    ""id"": ""1"",
+   ""status"": ""PRELIMINARY"",
    ""value"": 10,
  },

Number of calls: 1"
1b6fbc2db79b7a065a6624b95d8157e78aa3ee21b00b9038f50199840abfef82,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\patient\patient.service.ts:1964
      throw new common_1.ConflictException(`CPF ${dto.cpf} already registered`);
            ^

[ConflictException: CPF 12345678901 already registered] {
  response: {
    message: 'CPF 12345678901 already registered',
    error: 'Conflict',
    statusCode: 409
  },
  status: 409,
  options: {}
}

Node.js v18.16.0"
0d4b6d1596fb29689aa858a94bf362576501f06773c7791a3f725d0ed2c0dd1c,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\order\order.service.ts:2963
      throw new common_1.NotFoundException(`Order with id ${id} not found`);
            ^

[NotFoundException: Order with id 123 not found] {
  response: {
    message: 'Order with id 123 not found',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}

Node.js v18.16.0"
1575932f5460d0ecdc5f4a07df49f0323308555199fe99564efd87cf3d0b1e3b,qwen_coder_3b,structured,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\order\order.service.spec.ts:129
                orderRepositoryMock.search.mockRejectedValue(new Error('Invalid status'));
                                                             ^

[Error: Invalid status]

Node.js v18.16.0"
1a45a045f51f23945edac5fe305bab5a0abacd2978cdd379cf140f663a75d335,qwen_coder_3b,structured,jest,jest,unknown,5,1,should throw BadRequestException for ADT A01 with no Wart: BadRequestException: Ward is required for ADT A01 (admission)
daf15dc450430e10dc67dcb46d60659dc3fc19c29f1fd399abf8ffe04c483376,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\encounter\encounter.service.ts:5655
      throw new common_1.NotFoundException(`Encounter with id ${id} not found`);
            ^

[NotFoundException: Encounter with id 123 not found] {
  response: {
    message: 'Encounter with id 123 not found',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}

Node.js v18.16.0"
b056a92f5ac2fbb8a3110c911c4f8ff321ca1cb3c297df635a5de90c526a2c84,qwen_coder_7b,few_shot,jest,jest,runtime_error,5,1,"should throw BadRequestException when incoming status is CORRECTED and order is not completed: Error: expect(received).rejects.toThrow(expected)

Expected constructor: BadRequestException
Received constructor: TypeError

Received message: ""Cannot read properties of undefined (reading 'status')""

    [0m [90m 94 |[39m     )[33m;[39m
     [90m 95 |[39m
    [31m[1m>[22m[39m[90m 96 |[39m     [36mif[39m (encounter[33m.[39mstatus [33m===[39m [33mEncounterStatus[39m[33m.[39m[33m"
a7a832a3fdf79e5ac7ac85fbe98350719e83c1b4fabce82da33b6c76342f14b2,gemma_4,structured,jest,jest,runtime_error,5,1,should handle ADT type A01 successfully by creating a new patient and encounter: ReferenceError: createEncounter is not defined
b39c1af044098cfecfa85a9eca8f6367ede90385a9101e146722f5f848125fa4,qwen_coder_3b,structured,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\encounter\encounter.service.ts:5499
      throw new common_1.BadRequestException('Only ADT A01 can create an encounter; use the ADT workflow for A02, A03 and A08');
            ^

[BadRequestException: Only ADT A01 can create an encounter; use the ADT workflow for A02, A03 and A08] {
  response: {
    message: 'Only ADT A01 can create an encounter; use the ADT workflow for A02, A03 and A08',
    error: 'Bad"
74b34ff7f3285fad1bcbe32400b2b6f77cf5c67a287bb061ad95cdb8ed427d4c,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\order\order.service.ts:2984
      throw new common_1.BadRequestException('Cannot create order for a discharged encounter');
            ^

[BadRequestException: Cannot create order for a discharged encounter] {
  response: {
    message: 'Cannot create order for a discharged encounter',
    error: 'Bad Request',
    statusCode: 400
  },
  status: 400,
  options: {}
}

Node.js v18.16.0"
8d165f2fe214056f654b1d5e4ef343e2c0f2a30dc92474b6badd82a0849da174,qwen_coder_7b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\node_modules\expect\build\index.js:2155
  const innerErr = new JestAssertionError();
                   ^

[JestAssertionError: expect(received).rejects.toThrow(expected)

Expected substring: ""Cannot admit an inactive patient""
Received message:   ""Ward is required for ADT A01 (admission)""

    [0m [90m 65 |[39m   validateEncounterFields(dto[33m:[39m [33mCreateEncounterDto[39m)[33m:[39m [36mvoid[39m {"
ba81115142a76d75a66199347e2fd8850a50412077406fa1bce6cb655432626f,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\node_modules\expect\build\index.js:2155
  const innerErr = new JestAssertionError();
                   ^

[JestAssertionError: expect(received).rejects.toThrow(expected)

Expected message: ""Email test@example.com already registered""
Received message: ""Patient with id 1 not found""

    [0m [90m 16 |[39m     [36mconst[39m patient [33m=[39m [36mawait[39m [36mthis[39m[33m.[39mpatientRepository[33m.["
59496ca304395c5d720f30e94eadd14794aaaf3114c7a964f7b946ce510736a4,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\patient\patient.service.ts:2103
      throw new common_1.NotFoundException(`Patient with cpf ${cpf} not found`);
            ^

[NotFoundException: Patient with cpf 12345678901 not found] {
  response: {
    message: 'Patient with cpf 12345678901 not found',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}

Node.js v18.16.0"
25a53abc660ce30953f15f7ff21c23cf96947fb6bf161f44def14e08dfbe3c94,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\result\result.service.ts:3539
      throw new common_1.NotFoundException(`No results found for order ${orderId}`);
            ^

[NotFoundException: No results found for order 1001] {
  response: {
    message: 'No results found for order 1001',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}

Node.js v18.16.0"
ffa78fbf66d577fb529d374307996cd6e6a16460922a93d3fbb7cacfef52a19a,gemma_4,structured,jest,jest,unknown,5,1,should throw BadRequestException when adtType is A01 and ward is missing: BadRequestException: Ward is required for ADT A01 (admission)
ede61a52c267e7ac456a5e8e1e967b82cdd6d01b4713bf35677eed8e25f4b576,gemma_4,few_shot,jest,jest,unknown,5,1,should throw BadRequestException when adtType is A01 and ward is missing: BadRequestException: Ward is required for ADT A01 (admission)
d81782a79e405d0e6614c6ff3f7b5f42ed6b1bd415efb50a77810bdd48cf396b,qwen_coder_3b,zero_shot,jest,jest,unknown,5,1,"C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\corpus\src\result\result.service.spec.ts:79
                orderServiceMock.validateOrderResult.mockRejectedValue(new Error('Order validation failed'));
                                                                       ^

[Error: Order validation failed]

Node.js v18.16.0"
cda619b8da9b88a77d2eef7dd283b40a0d13b605792c7aeb992d81a20c5079ae,gemma_4,zero_shot,jest,jest,runtime_error,5,1,should handle ADT type A01 successfully by creating a new patient and encounter: ReferenceError: createEncounter is not defined
ebd0f2f5ac6a534a413b5b30279afa63208c824bc682a7c7a5d76c2a42d9f15d,qwen_coder_3b,zero_shot,jest,jest,runtime_error,5,1,should throw BadRequestException for ADT A01 without Wart: TypeError: expect(...).toThrowError is not a function
c58ef7471f0199be17da70be4e6aa3446d126223392b9debf630b7a841f82389,gemma_4,structured,jest,jest,assertion_failure,4,1,"should assign riskFlag as HIGH when abnormal results exist and activeDays > 7: Error: expect(received).toBe(expected) // Object.is equality

Expected: 1
Received: false"
d594d4f05180b15c3e594b5f2a5365e7eb6f532f3f7847b44ead2cca8900053d,gemma_4,few_shot,jest,jest,unknown,4,1,should throw BadRequestException when admitDate is not before transferDate: RangeError: Maximum call stack size exceeded
2ca322236f16007840cf7e8abfbc15162da7933dc8752f1c6a0b9c76d3d03702,qwen_coder_7b,few_shot,repair,repair,unparseable_failure,4,1,0 failures parsed from Jest output; whole-file repair is disabled for this attempt.
f5749a9f782b05156d0dcd6b9dceb68402e64bb139194667d29526f1336a8bdc,qwen_coder_3b,zero_shot,jest,jest,runtime_error,4,1,"should throw BadRequestException if incoming status is CORRECTED and order is not completed: Error: expect(received).rejects.toThrow(expected)

Expected message: ""Cannot register a CORRECTED result until the order is COMPLETED""
Received message: ""Cannot read properties of undefined (reading 'status')""

    [0m [90m 94 |[39m     )[33m;[39m
     [90m 95 |[39m
    [31m[1m>[22m[39m[90m 96 |[39m     [36mif[39m (encounter[33m.[39mstatus [33m===[39m [33mEncounterStatus[39m[33m.[3"
d7640ca8c8036e033a4f4a24e16b4948188162487e8a00e956f8b17458743142,gemma_4,zero_shot,jest,jest,unknown,4,1,should throw ConflictException if the new email already exists: Error: Property `findByEmail` does not exist in the provided object
d5bdbfca4557bb2853d8c9477b71f5f212f0adabf4ece0e50e41ec124fe36f1c,gemma_4,zero_shot,jest,jest,runtime_error,4,1,should be able to create an order successfully: ReferenceError: createOrder is not defined
ccdef98f8a18c711ee600b6978bbbe97784e93e8dd851570813fd4c4d1a017c4,gemma_4,structured,jest,jest,assertion_failure,4,1,"should assign riskFlag as HIGH when abnormal results exist and activeDays > 7: Error: expect(received).toBe(expected) // Object.is equality

Expected: 1
Received: false"
a19dd2f169fea0f558514ac3dac1b23af029a1260819d762429f620cb291dccb,gemma_4,zero_shot,repair,repair,repair_failed,4,4,1 repair attempt(s) did not produce a valid fix
a19dd2f169fea0f558514ac3dac1b23af029a1260819d762429f620cb291dccb,gemma_4,structured,repair,repair,repair_failed,4,4,1 repair attempt(s) did not produce a valid fix
95b151739a32db11fbbcab42279fde113f7ed9872a38e43a260fbd07f1dd4ab6,qwen_coder_3b,zero_shot,jest,jest,runtime_error,4,1,should throw BadRequestException if adtType is not A01: TypeError: expect(...).rejects.toThrowError is not a function
73a5f390bfa62b824dcfea7d1c88cef8cd7448c3409e8f6df7c4cfd2ee45b0d0,qwen_coder_7b,structured,jest,jest,assertion_failure,4,1,"should throw NotFoundException when no results found for order: Error: expect(jest.fn()).not.toHaveBeenCalled()

Expected number of calls: 0
Received number of calls: 1

1: ""123"""
24b4041914a12caff3019f909ca561f5576140a3c10ded91105faac26f14d504,qwen_coder_3b,few_shot,jest,jest,assertion_failure,4,1,"should throw NotFoundException when patient does not exist: Error: expect(received).rejects.toThrow()

Received promise resolved instead of rejected
Resolved to value: {""activeDays"": NaN, ""encounter"": {""id"": ""1"", ""patientId"": ""2""}, ""hasAbnormalResults"": false, ""orders"": {""cancelled"": 0, ""completed"": 0, ""inProgress"": 0, ""pending"": 0, ""total"": 0}, ""patient"": null, ""results"": {""abnormal"": 0, ""preliminary"": 0, ""total"": 0}, ""riskFlag"": ""LOW""}"
3034cd9ad0ba5b46f9f6a4f801e63db802e648003aab647c1bc1ed7d80bc8b88,gemma_4,few_shot,jest,jest,assertion_failure,4,1,"should calculate summary correctly when no orders or results exist: Error: expect(received).toBe(expected) // Object.is equality

Expected: ""LOW""
Received: ""MEDIUM"""
2ca322236f16007840cf7e8abfbc15162da7933dc8752f1c6a0b9c76d3d03702,qwen_coder_7b,zero_shot,repair,repair,unparseable_failure,4,1,0 failures parsed from Jest output; whole-file repair is disabled for this attempt.
2dbaf5ec0205c9c6c4947ae9b64b98b4e35b047b4161f779f4f350d887cbb215,qwen_coder_3b,structured,jest,jest,runtime_error,4,1,"should throw BadRequestException for A01 with missing fields: Error: expect(received).rejects.toThrow(expected)

Expected constructor: BadRequestException
Received constructor: TypeError

Received message: ""Cannot read properties of undefined (reading 'id')""

    [0m [90m 226 |[39m
     [90m 227 |[39m       [36mconst[39m encounter [33m=[39m [36mawait[39m [36mthis[39m[33m.[39mcreateEncounter({
    [31m[1m>[22m[39m[90m 228 |[39m         patientId[33m:[39m patient[33m.[39mi"
454a3a382535bec1f9a1f9fd796376898cf16321d409b2ec7b1cae589fb48e4c,gemma_4,structured,jest,jest,assertion_failure,4,1,"should assign riskFlag as HIGH when abnormal results exist and activeDays > 7: Error: expect(received).toBe(expected) // Object.is equality

Expected: 1
Received: false"
2edbbb6c5914f5d69a867e624eb2dc155c135a5dae361c10b6f1c1c7cc0e51f9,qwen_coder_3b,zero_shot,jest,jest,unexpected_throw,4,1,"should throw BadRequestException if admitDate is provided for an ADMITTED encounter: Error: expect(received).rejects.toThrow()

Received promise resolved instead of rejected
Resolved to value: undefined"
62ecf4a983e221812eb1b76b0ff1d2b5d21e36fbd1504af5f10070817a157ff5,qwen_coder_3b,structured,jest,jest,unknown,4,1,should throw BadRequestException when encounter is DISCHARGED: BadRequestException: Cannot update a discharged encounter
6fa046ba42cfa48245ddc0303f154a05742e24cae2d805ba1ddff7edcd44bcaf,qwen_coder_3b,zero_shot,jest,jest,assertion_failure,3,1,"should return encounters by patient id: Error: expect(received).toEqual(expected) // deep equality

- Expected  - 3
+ Received  + 3

@@ -1,10 +1,10 @@
  Array [
    Object {
-     ""admitDate"": 2026-08-30T03:19:51.292Z,
+     ""admitDate"": 2026-08-30T03:19:51.291Z,
      ""adtType"": ""A01"",
-     ""created_at"": 2026-08-30T03:19:51.292Z,
+     ""created_at"": 2026-08-30T03:19:51.291Z,
      ""dischargeDate"": null,
      ""id"": ""1"",
      ""orders"": Array [],
      ""patient"": Object {
        ""id"": ""1"",
@@ "
7e7f70be0352ca30672a6406fb203362df1ebf8374eae1a437fed8882bffdeae,gemma_4,zero_shot,jest,jest,runtime_error,3,1,should throw BadRequestException for invalid status transition: TypeError: Cannot read properties of undefined (reading 'mockRejectedValueOnce')
84fd9f1d23a464d64a228b6240f830d9b163939dde13ac486fa4574dcbe74c8c,qwen_coder_3b,structured,jest,jest,unknown,3,1,should return order when incomingStatus is CORRECTED: BadRequestException: Order (id: 123) must have exactly one final result available for correction
9aac4c9b87cd46443271df15084279627a5839a7695b062adbd70b6cc641d6b5,qwen_coder_7b,few_shot,jest,jest,runtime_error,3,1,should create and return a new patient and encounter for A01: TypeError: Cannot read properties of undefined (reading 'active')
c26aefbd1f452a005ffa9eb3986ba62d448e498d4b980253cc21273f505f0828,qwen_coder_7b,zero_shot,jest,jest,assertion_failure,3,1,"should build encounter summary with no abnormal results and active days less than 7: Error: expect(received).toEqual(expected) // deep equality

- Expected  - 2
+ Received  + 2

@@ -1,7 +1,7 @@
  Object {
-   ""activeDays"": 0,
+   ""activeDays"": 1247,
    ""encounter"": Object {
      ""admitDate"": ""2023-04-01T00:00:00Z"",
      ""id"": ""123"",
      ""orders"": Array [],
      ""patientId"": ""456"",
@@ -22,7 +22,7 @@
    ""results"": Object {
      ""abnormal"": 0,
      ""preliminary"": 0,
      ""total"": 0,
    }"
c59ce966defc77e7123cbf67521939b0f14e4b950b70b3ef965d1f335be3830d,qwen_coder_3b,structured,jest,jest,runtime_error,3,1,"should throw BadRequestException when order.status is not COMPLETED: Error: expect(received).rejects.toThrow(expected)

Expected constructor: BadRequestException
Received constructor: TypeError

Received message: ""Cannot read properties of undefined (reading 'status')""

    [0m [90m 94 |[39m     )[33m;[39m
     [90m 95 |[39m
    [31m[1m>[22m[39m[90m 96 |[39m     [36mif[39m (encounter[33m.[39mstatus [33m===[39m [33mEncounterStatus[39m[33m.[39m[33mDISCHARGED[39m) {
     ["
c59ce966defc77e7123cbf67521939b0f14e4b950b70b3ef965d1f335be3830d,qwen_coder_3b,structured,jest,jest,unknown,3,1,should return order when incomingStatus is CORRECTED: BadRequestException: Order (id: 123) must have exactly one final result available for correction
c9b6eefbfc420d80185d7ef9f979b7095d260b753d5a8827c1ed6d4383aba2d5,gemma_4,structured,jest,jest,runtime_error,3,1,should handle ADT type A01 successfully by creating a new patient and encounter: TypeError: service.createEncounter.mockResolvedValue is not a function
e7c4fe3c5b4a707650480cb410a8372783ac909017aa07346029756c69331dfe,qwen_coder_7b,zero_shot,jest,jest,runtime_error,3,1,should update order with requestedBy if status is not CANCELLED or COMPLETED: TypeError: Cannot read properties of undefined (reading 'requestedBy')
e30c708129e50ae5b575085b19afad09ee75c62a1dc96a8d1e8c71af08904d29,qwen_coder_7b,structured,jest,jest,unexpected_throw,3,1,"should throw BadRequestException when admitDate is provided but encounter is not admitted: Error: expect(received).rejects.toThrow()

Received promise resolved instead of rejected
Resolved to value: undefined"
65ed516df25fd17163325d05fc59da2fc4143fa99ce59efe6dbac21a64473407,qwen_coder_7b,structured,jest,jest,assertion_failure,3,1,"should build result report with preliminary status: Error: expect(received).toEqual(expected) // deep equality

- Expected  - 2
+ Received  + 2

@@ -2,12 +2,12 @@
    ""examType"": ""GLUCOSE"",
    ""items"": Array [
      Object {
        ""examType"": ""GLUCOSE"",
        ""flag"": ""NORMAL"",
-       ""referenceMax"": null,
-       ""referenceMin"": null,
+       ""referenceMax"": 99,
+       ""referenceMin"": 70,
        ""resultDate"": Any<Date>,
        ""resultId"": ""456"",
        ""sourceSystem"": null,
        ""st"
58c9260501dd15906f8cd07d095d0983638c86bf18c6a97571ced1c26e406cea,gemma_4,few_shot,jest,jest,runtime_error,3,1,should calculate riskFlag as HIGH when abnormal results exist and stay is long: TypeError: Date.now is not a function
4c35af433f01cfb01995b990aa9fe37551798e8406d471c313f39193030e26e7,gemma_4,structured,jest,jest,unknown,3,1,"should update admitDate successfully when conditions are met: Error: expect(received).resolves.toBeDefined()

Received: undefined"
2edbbb6c5914f5d69a867e624eb2dc155c135a5dae361c10b6f1c1c7cc0e51f9,qwen_coder_3b,zero_shot,jest,jest,runtime_error,3,1,should update admitDate for an ADMITTED encounter: TypeError: Cannot read properties of undefined (reading 'admitDate')
62f9f76e2db834fcd4d843fd77bb2d32d0cade33ba817e378cd4257df31492b9,qwen_coder_7b,structured,jest,jest,runtime_error,3,1,should update patient with valid data: TypeError: Cannot read properties of undefined (reading 'mockResolvedValue')
b5cfc2d92fe9c848bfef2b2580135c6b014d97539b62bb5b32f48f5219b0d858,qwen_coder_3b,structured,jest,jest,unexpected_throw,3,1,"should throw NotFoundException if patient is not found: Error: expect(received).rejects.toThrow()

Received promise resolved instead of rejected
Resolved to value: undefined"
2d1ab9e88875b00fcf47f684107ba05709411f7459b1ba0fa3ef6724685607d8,qwen_coder_3b,few_shot,jest,jest,unknown,3,1,should save and return the updated encounter when valid transition: BadRequestException: Ward is required for transfer
07669857ffb0ce3ee50e620aaa2bdb3e306e87699a96b0b0862427652773b240,qwen_coder_3b,structured,repair,repair,max_repairs_exceeded,3,3,Runtime repair exhausted MAX_RUNTIME_REPAIRS=5 attempts
2ca322236f16007840cf7e8abfbc15162da7933dc8752f1c6a0b9c76d3d03702,qwen_coder_3b,few_shot,repair,repair,unparseable_failure,3,1,0 failures parsed from Jest output; whole-file repair is disabled for this attempt.
262c2c9092cb193aafecb346a9a8f854b7a0bb600af7b42e474a969c4bb07da6,qwen_coder_3b,zero_shot,jest,jest,assertion_failure,3,1,"should return the correct EncounterSummary for a valid encounter: Error: expect(received).toEqual(expected) // deep equality

- Expected  - 2
+ Received  + 2

@@ -1,7 +1,7 @@
  Object {
-   ""activeDays"": 0,
+   ""activeDays"": 1337,
    ""encounter"": Object {
      ""admitDate"": ""2023-01-01T00:00:00Z"",
      ""id"": ""1"",
      ""orders"": Array [
        Object {
@@ -36,7 +36,7 @@
    ""results"": Object {
      ""abnormal"": 0,
      ""preliminary"": 1,
      ""total"": 1,
    },
-   ""riskFlag"": ""LOW"",
+   ""ri"
