run_id,timestamp,model,strategy,module,function_name,fn_id,source_file,line_start,line_end,source_hash,phase,attempt,error_category,error_subcategory,error_message,error_hash,artifact_disposition,raw_artifact_path
run-20260901T031236.570959Z,2026-09-01T03:12:59.160118+00:00,qwen_coder_3b,zero_shot,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,30,63,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException for invalid ADT type: TypeError: expect(...).rejects.toThrowError is not a function,b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86.txt
run-20260901T031236.570959Z,2026-09-01T03:12:59.161077+00:00,qwen_coder_3b,zero_shot,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,30,63,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException for inactive patient: TypeError: expect(...).rejects.toThrowError is not a function,b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86.txt
run-20260901T031236.570959Z,2026-09-01T03:12:59.162053+00:00,qwen_coder_3b,zero_shot,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,30,63,04a941d1,jest,1,jest,runtime_error,should throw ConflictException if patient already has an active encounter: TypeError: expect(...).rejects.toThrowError is not a function,b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86.txt
run-20260901T031236.570959Z,2026-09-01T03:12:59.162053+00:00,qwen_coder_3b,zero_shot,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,30,63,04a941d1,jest,1,jest,runtime_error,should create and save a new encounter: TypeError: Cannot read properties of undefined (reading 'active'),b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b599dc458d20e0ecd546f4c55dd17f960c0b789c8d00b9d4dbf28732d03dce86.txt
run-20260901T031236.570959Z,2026-09-01T03:14:22.750768+00:00,qwen_coder_3b,zero_shot,encounter,listEncountersByPatient,FN_listEncountersByPatient_END,src/encounter/encounter.service.ts,93,99,04a941d1,jest,1,jest,unknown,"should return encounters by patient id: Error: expect(received).toEqual(expected) // deep equality

- Expected  - 6
+ Received  + 6

  Array [
    Object {
-     ""admitDate"": 2026-09-01T03:14:22.637Z,
+     ""admitDate"": 2026-09-01T03:14:22.636Z,
      ""adtType"": ""A01"",
-     ""created_at"": 2026-09-01T03:14:22.637Z,
+     ""created_at"": 2026-09-01T03:14:22.636Z,
      ""dischargeDate"": null,
      ""id"": ""1"",
      ""orders"": Array [],
      ""patient"": Object {
        ""address"": ""123 Main St"",
-     ",7161d59ac20fb392e4bbae10154abcc70ff26c6ef24debb8d315d77f5263d957,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\7161d59ac20fb392e4bbae10154abcc70ff26c6ef24debb8d315d77f5263d957.txt
run-20260901T031236.570959Z,2026-09-01T03:14:44.304932+00:00,qwen_coder_3b,zero_shot,encounter,listEncountersByPatient,FN_listEncountersByPatient_END,src/encounter/encounter.service.ts,93,99,04a941d1,jest,2,jest,unknown,"should return encounters by patient id: Error: expect(received).toEqual(expected) // deep equality

- Expected  - 6
+ Received  + 6

  Array [
    Object {
-     ""admitDate"": 2026-09-01T03:14:44.194Z,
+     ""admitDate"": 2026-09-01T03:14:44.193Z,
      ""adtType"": ""A01"",
-     ""created_at"": 2026-09-01T03:14:44.194Z,
+     ""created_at"": 2026-09-01T03:14:44.193Z,
      ""dischargeDate"": null,
      ""id"": ""1"",
      ""orders"": Array [],
      ""patient"": Object {
        ""address"": ""123 Main St"",
-     ",27aa4c40aec6d2ab1fc25cf4740eb08cc210650ce0c19d7bc8051647ef737306,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\27aa4c40aec6d2ab1fc25cf4740eb08cc210650ce0c19d7bc8051647ef737306.txt
run-20260901T031236.570959Z,2026-09-01T03:15:21.846574+00:00,qwen_coder_3b,zero_shot,encounter,getEncounterById,FN_getEncounterById_END,src/encounter/encounter.service.ts,101,107,04a941d1,jest,1,jest,runtime_error,should throw NotFoundException when encounter is not found: TypeError: expect(...).rejects.toThrowError is not a function,54f486de508ee8ebaa2ff680def8a6f966efa645a76ca7e05dedcbc056363ddb,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\54f486de508ee8ebaa2ff680def8a6f966efa645a76ca7e05dedcbc056363ddb.txt
run-20260901T031236.570959Z,2026-09-01T03:16:08.782953+00:00,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,109,197,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException if invalid status transition: TypeError: expect(...).rejects.toThrowError is not a function,b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1.txt
run-20260901T031236.570959Z,2026-09-01T03:16:08.782953+00:00,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,109,197,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException if discharge with pending orders: TypeError: expect(...).rejects.toThrowError is not a function,b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1.txt
run-20260901T031236.570959Z,2026-09-01T03:16:08.787264+00:00,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,109,197,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException if transfer requires a different ward: TypeError: expect(...).rejects.toThrowError is not a function,b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1.txt
run-20260901T031236.570959Z,2026-09-01T03:16:08.787264+00:00,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,109,197,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException if transferDate is required for transfer: TypeError: expect(...).rejects.toThrowError is not a function,b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1.txt
run-20260901T031236.570959Z,2026-09-01T03:16:08.787264+00:00,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,109,197,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException if transferDate must be after admitDate: TypeError: expect(...).rejects.toThrowError is not a function,b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1.txt
run-20260901T031236.570959Z,2026-09-01T03:16:08.787264+00:00,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,109,197,04a941d1,jest,1,jest,runtime_error,should throw BadRequestException if dischargeDate is required for discharge: TypeError: expect(...).rejects.toThrowError is not a function,b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1,,C:\Users\cdbaz\OneDrive\Documentos\Projetos\usp\tcc\health-microservice-corpus\experiments\logs\errors\run-20260901T031236.570959Z\b3325981cbafb30183f159340bcdaeb28c51917932d441c93aa43f7b9bee34f1.txt
